CMDLINE /opt/anaconda3/envs/radixSortTesting/bin/python3.10 memory_benchmark.py
MEM 0.203125 1683395799.0796
MEM 21.546875 1683395799.1848
MEM 21.656250 1683395799.2880
MEM 21.671875 1683395799.3931
MEM 21.828125 1683395799.4940
MEM 22.031250 1683395799.5992
MEM 22.250000 1683395799.7042
MEM 22.515625 1683395799.8094
MEM 22.859375 1683395799.9146
MEM 23.375000 1683395800.0192
MEM 23.843750 1683395800.1228
MEM 23.843750 1683395800.2279
MEM 23.843750 1683395800.3280
MEM 23.843750 1683395800.4331
MEM 23.843750 1683395800.5382
MEM 23.843750 1683395800.6394
MEM 23.843750 1683395800.7445
MEM 23.984375 1683395800.8496
MEM 23.984375 1683395800.9547
MEM 23.984375 1683395801.0598
MEM 23.984375 1683395801.1651
MEM 23.984375 1683395801.2702
MEM 23.984375 1683395801.3752
MEM 23.984375 1683395801.4803
MEM 23.984375 1683395801.5854
MEM 23.984375 1683395801.6904
MEM 23.984375 1683395801.7954
MEM 23.984375 1683395801.9005
MEM 23.984375 1683395802.0049
MEM 23.984375 1683395802.1049
MEM 23.984375 1683395802.2051
MEM 23.984375 1683395802.3102
MEM 23.984375 1683395802.4153
MEM 23.984375 1683395802.5202
MEM 23.984375 1683395802.6252
MEM 23.984375 1683395802.7303
MEM 23.984375 1683395802.8353
MEM 23.984375 1683395802.9402
MEM 23.984375 1683395803.0453
MEM 23.984375 1683395803.1503
MEM 23.984375 1683395803.2554
MEM 23.984375 1683395803.3604
MEM 23.984375 1683395803.4645
MEM 23.984375 1683395803.5696
MEM 23.984375 1683395803.6746
MEM 23.984375 1683395803.7797
MEM 24.046875 1683395803.8848
MEM 24.046875 1683395803.9900
MEM 24.046875 1683395804.0950
MEM 24.046875 1683395804.2000
MEM 24.046875 1683395804.3007
MEM 24.046875 1683395804.4058
MEM 24.046875 1683395804.5109
MEM 24.046875 1683395804.6159
MEM 24.046875 1683395804.7209
MEM 24.046875 1683395804.8260
MEM 24.046875 1683395804.9310
MEM 24.046875 1683395805.0362
MEM 24.046875 1683395805.1413
MEM 24.046875 1683395805.2465
MEM 24.046875 1683395805.3516
MEM 24.046875 1683395805.4566
MEM 24.046875 1683395805.5617
MEM 24.046875 1683395805.6637
MEM 24.046875 1683395805.7688
MEM 24.046875 1683395805.8739
MEM 24.046875 1683395805.9790
MEM 24.046875 1683395806.0842
MEM 24.046875 1683395806.1893
MEM 24.046875 1683395806.2945
MEM 24.046875 1683395806.3996
MEM 24.046875 1683395806.5049
MEM 24.046875 1683395806.6100
MEM 24.046875 1683395806.7152
MEM 24.046875 1683395806.8204
MEM 24.046875 1683395806.9254
MEM 24.046875 1683395807.0305
MEM 24.046875 1683395807.1356
MEM 24.046875 1683395807.2407
MEM 24.046875 1683395807.3457
MEM 24.046875 1683395807.4508
MEM 24.046875 1683395807.5559
MEM 24.046875 1683395807.6562
MEM 24.046875 1683395807.7612
MEM 24.046875 1683395807.8663
MEM 24.046875 1683395807.9674
MEM 24.046875 1683395808.0725
MEM 24.046875 1683395808.1777
MEM 24.046875 1683395808.2828
MEM 24.046875 1683395808.3879
MEM 24.046875 1683395808.4930
MEM 24.046875 1683395808.5980
MEM 24.046875 1683395808.7031
MEM 24.046875 1683395808.8082
MEM 24.046875 1683395808.9133
MEM 24.046875 1683395809.0183
MEM 24.046875 1683395809.1235
MEM 24.046875 1683395809.2286
MEM 24.046875 1683395809.3331
MEM 24.046875 1683395809.4382
MEM 24.046875 1683395809.5432
MEM 24.046875 1683395809.6483
MEM 24.046875 1683395809.7534
MEM 24.046875 1683395809.8584
MEM 24.046875 1683395809.9635
MEM 24.046875 1683395810.0673
MEM 24.046875 1683395810.1692
MEM 24.046875 1683395810.2744
MEM 24.046875 1683395810.3795
MEM 24.046875 1683395810.4845
MEM 24.046875 1683395810.5896
MEM 24.046875 1683395810.6897
MEM 24.046875 1683395810.7947
MEM 24.046875 1683395810.8998
MEM 24.046875 1683395811.0048
MEM 24.046875 1683395811.1049
MEM 24.046875 1683395811.2050
MEM 24.046875 1683395811.3101
MEM 24.046875 1683395811.4151
MEM 24.046875 1683395811.5202
MEM 24.046875 1683395811.6203
MEM 24.046875 1683395811.7203
MEM 24.046875 1683395811.8254
MEM 24.046875 1683395811.9306
MEM 24.046875 1683395812.0356
MEM 24.046875 1683395812.1406
MEM 24.046875 1683395812.2457
MEM 24.046875 1683395812.3508
MEM 24.046875 1683395812.4559
MEM 24.046875 1683395812.5609
MEM 24.046875 1683395812.6660
MEM 24.046875 1683395812.7710
MEM 24.046875 1683395812.8761
MEM 24.046875 1683395812.9812
MEM 24.046875 1683395813.0827
MEM 24.046875 1683395813.1877
MEM 24.046875 1683395813.2928
MEM 24.046875 1683395813.3979
MEM 24.046875 1683395813.5029
MEM 24.046875 1683395813.6080
MEM 24.046875 1683395813.7130
MEM 24.046875 1683395813.8143
MEM 24.046875 1683395813.9194
MEM 24.046875 1683395814.0244
MEM 24.046875 1683395814.1290
MEM 24.046875 1683395814.2300
MEM 24.046875 1683395814.3352
MEM 24.046875 1683395814.4403
MEM 24.046875 1683395814.5453
MEM 24.046875 1683395814.6503
MEM 24.046875 1683395814.7554
MEM 24.046875 1683395814.8561
MEM 24.046875 1683395814.9612
MEM 24.046875 1683395815.0663
MEM 24.046875 1683395815.1713
MEM 24.046875 1683395815.2764
MEM 24.046875 1683395815.3814
MEM 24.046875 1683395815.4816
MEM 24.046875 1683395815.5867
MEM 24.046875 1683395815.6909
MEM 24.046875 1683395815.7912
MEM 24.046875 1683395815.8955
MEM 24.046875 1683395816.0005
MEM 24.046875 1683395816.1056
MEM 24.046875 1683395816.2107
MEM 24.046875 1683395816.3157
MEM 24.046875 1683395816.4208
MEM 24.046875 1683395816.5259
MEM 24.046875 1683395816.6309
MEM 24.046875 1683395816.7360
MEM 24.046875 1683395816.8361
MEM 24.046875 1683395816.9412
MEM 24.046875 1683395817.0463
MEM 24.046875 1683395817.1514
MEM 24.046875 1683395817.2562
MEM 24.046875 1683395817.3613
MEM 24.046875 1683395817.4663
MEM 24.046875 1683395817.5714
MEM 24.046875 1683395817.6765
MEM 24.046875 1683395817.7786
MEM 24.046875 1683395817.8837
MEM 24.046875 1683395817.9853
MEM 24.046875 1683395818.0905
MEM 24.046875 1683395818.1955
MEM 24.046875 1683395818.3006
MEM 24.046875 1683395818.4056
MEM 24.046875 1683395818.5107
MEM 24.046875 1683395818.6157
MEM 24.046875 1683395818.7208
MEM 24.046875 1683395818.8258
MEM 24.046875 1683395818.9280
MEM 24.046875 1683395819.0331
MEM 24.046875 1683395819.1382
MEM 24.046875 1683395819.2432
