CMDLINE /opt/anaconda3/envs/radixSortTesting/bin/python3.10 memory_benchmark.py
MEM 0.203125 1683394755.4297
MEM 21.093750 1683394755.5350
MEM 21.234375 1683394755.6369
MEM 21.875000 1683394755.7421
MEM 22.187500 1683394755.8472
MEM 22.203125 1683394755.9523
MEM 22.203125 1683394756.0573
MEM 22.250000 1683394756.1624
MEM 22.250000 1683394756.2675
MEM 22.250000 1683394756.3726
MEM 22.250000 1683394756.4776
MEM 22.250000 1683394756.5826
MEM 22.250000 1683394756.6878
MEM 22.250000 1683394756.7928
MEM 22.250000 1683394756.8978
MEM 22.250000 1683394757.0029
MEM 22.250000 1683394757.1076
MEM 22.250000 1683394757.2127
MEM 22.250000 1683394757.3139
MEM 22.250000 1683394757.4189
MEM 22.250000 1683394757.5190
MEM 22.250000 1683394757.6191
MEM 22.250000 1683394757.7241
MEM 22.250000 1683394757.8257
MEM 22.250000 1683394757.9307
MEM 22.250000 1683394758.0358
MEM 22.281250 1683394758.1402
MEM 22.281250 1683394758.2452
MEM 22.281250 1683394758.3503
MEM 22.281250 1683394758.4554
MEM 22.281250 1683394758.5603
MEM 22.281250 1683394758.6654
MEM 22.281250 1683394758.7704
MEM 22.281250 1683394758.8755
MEM 22.281250 1683394758.9805
MEM 22.281250 1683394759.0856
MEM 22.281250 1683394759.1907
MEM 22.281250 1683394759.2952
MEM 22.281250 1683394759.4002
MEM 22.281250 1683394759.5053
MEM 22.281250 1683394759.6103
MEM 22.281250 1683394759.7119
MEM 22.281250 1683394759.8170
MEM 22.281250 1683394759.9221
MEM 22.281250 1683394760.0272
MEM 22.281250 1683394760.1323
MEM 22.281250 1683394760.2373
MEM 22.281250 1683394760.3424
MEM 22.281250 1683394760.4474
MEM 22.281250 1683394760.5480
MEM 22.281250 1683394760.6530
MEM 22.281250 1683394760.7582
MEM 22.281250 1683394760.8633
MEM 22.281250 1683394760.9684
MEM 22.281250 1683394761.0734
MEM 22.281250 1683394761.1785
MEM 22.281250 1683394761.2882
MEM 22.281250 1683394761.3891
MEM 22.281250 1683394761.4942
MEM 22.281250 1683394761.5992
MEM 22.281250 1683394761.7043
MEM 22.281250 1683394761.8090
MEM 22.281250 1683394761.9141
MEM 22.281250 1683394762.0191
MEM 22.281250 1683394762.1239
MEM 22.281250 1683394762.2290
MEM 22.281250 1683394762.3342
MEM 22.281250 1683394762.4380
MEM 22.281250 1683394762.5423
MEM 22.281250 1683394762.6434
MEM 22.281250 1683394762.7485
MEM 22.281250 1683394762.8509
