CMDLINE /opt/anaconda3/envs/radixSortTesting/bin/python3.10 memory_benchmark.py
MEM 0.218750 1683468152.6954
MEM 22.250000 1683468152.8005
MEM 22.250000 1683468152.9057
MEM 22.250000 1683468153.0108
MEM 22.250000 1683468153.1160
MEM 22.250000 1683468153.2210
MEM 22.250000 1683468153.3251
MEM 22.250000 1683468153.4302
MEM 22.250000 1683468153.5353
MEM 22.250000 1683468153.6405
MEM 22.250000 1683468153.7456
MEM 22.250000 1683468153.8508
MEM 22.250000 1683468153.9558
MEM 22.250000 1683468154.0609
MEM 22.250000 1683468154.1660
MEM 22.250000 1683468154.2711
MEM 22.250000 1683468154.3730
MEM 22.250000 1683468154.4751
MEM 22.250000 1683468154.5803
MEM 22.250000 1683468154.6854
MEM 22.250000 1683468154.7859
MEM 22.250000 1683468154.8860
MEM 22.250000 1683468154.9911
MEM 22.250000 1683468155.0962
MEM 22.250000 1683468155.2012
MEM 22.250000 1683468155.3063
MEM 22.250000 1683468155.4073
MEM 22.250000 1683468155.5123
MEM 22.250000 1683468155.6175
MEM 22.250000 1683468155.7226
MEM 22.250000 1683468155.8276
MEM 22.250000 1683468155.9327
MEM 22.250000 1683468156.0378
MEM 22.250000 1683468156.1428
MEM 22.250000 1683468156.2478
MEM 22.250000 1683468156.3528
MEM 22.250000 1683468156.4579
MEM 22.250000 1683468156.5630
MEM 22.250000 1683468156.6681
MEM 22.250000 1683468156.7731
MEM 22.250000 1683468156.8783
MEM 22.250000 1683468156.9834
MEM 22.250000 1683468157.0884
MEM 22.250000 1683468157.1934
MEM 22.250000 1683468157.2985
MEM 22.250000 1683468157.4031
MEM 22.250000 1683468157.5081
MEM 22.250000 1683468157.6132
MEM 22.250000 1683468157.7183
MEM 22.281250 1683468157.8234
MEM 22.281250 1683468157.9239
MEM 22.281250 1683468158.0285
MEM 22.281250 1683468158.1336
MEM 22.281250 1683468158.2355
MEM 22.281250 1683468158.3406
MEM 22.281250 1683468158.4449
MEM 22.281250 1683468158.5500
MEM 22.281250 1683468158.6551
MEM 22.281250 1683468158.7594
MEM 22.281250 1683468158.8644
MEM 22.281250 1683468158.9656
MEM 22.281250 1683468159.0707
MEM 22.281250 1683468159.1758
MEM 22.312500 1683468159.2808
MEM 22.312500 1683468159.3859
MEM 22.312500 1683468159.4906
MEM 22.312500 1683468159.5957
MEM 22.312500 1683468159.7008
MEM 22.312500 1683468159.8024
MEM 22.312500 1683468159.9074
MEM 22.312500 1683468160.0125
MEM 22.312500 1683468160.1176
MEM 22.312500 1683468160.2226
MEM 22.312500 1683468160.3277
MEM 22.312500 1683468160.4327
MEM 22.312500 1683468160.5378
MEM 22.312500 1683468160.6399
MEM 22.312500 1683468160.7450
MEM 22.312500 1683468160.8501
MEM 22.312500 1683468160.9551
MEM 22.312500 1683468161.0602
MEM 22.312500 1683468161.1652
MEM 22.312500 1683468161.2680
MEM 22.312500 1683468161.3730
MEM 22.312500 1683468161.4781
MEM 22.312500 1683468161.5831
MEM 22.312500 1683468161.6882
MEM 22.312500 1683468161.7932
MEM 22.312500 1683468161.8983
MEM 22.312500 1683468162.0033
MEM 22.312500 1683468162.1080
MEM 22.312500 1683468162.2130
MEM 22.312500 1683468162.3181
MEM 22.312500 1683468162.4231
MEM 22.312500 1683468162.5281
MEM 22.312500 1683468162.6282
MEM 22.312500 1683468162.7332
MEM 22.312500 1683468162.8383
MEM 22.312500 1683468162.9431
MEM 22.312500 1683468163.0481
MEM 22.312500 1683468163.1532
MEM 22.312500 1683468163.2582
MEM 22.312500 1683468163.3634
MEM 22.312500 1683468163.4685
MEM 22.312500 1683468163.5736
MEM 22.312500 1683468163.6787
MEM 22.312500 1683468163.7838
MEM 22.312500 1683468163.8890
MEM 22.312500 1683468163.9941
MEM 22.312500 1683468164.0991
MEM 22.312500 1683468164.2042
MEM 22.312500 1683468164.3093
MEM 22.312500 1683468164.4143
MEM 22.312500 1683468164.5184
MEM 22.312500 1683468164.6235
MEM 22.312500 1683468164.7243
MEM 22.312500 1683468164.8276
MEM 22.312500 1683468164.9327
MEM 22.312500 1683468165.0333
MEM 22.312500 1683468165.1385
MEM 22.312500 1683468165.2397
