CMDLINE /opt/anaconda3/envs/radixSortTesting/bin/python3.10 memory_benchmark.py
MEM 0.218750 1683472007.2463
MEM 22.109375 1683472007.3514
MEM 22.109375 1683472007.4565
MEM 22.109375 1683472007.5616
MEM 22.109375 1683472007.6619
MEM 22.109375 1683472007.7670
MEM 22.109375 1683472007.8721
MEM 22.109375 1683472007.9772
MEM 22.109375 1683472008.0822
MEM 22.109375 1683472008.1873
MEM 22.109375 1683472008.2923
MEM 22.109375 1683472008.3950
MEM 22.109375 1683472008.5001
MEM 22.109375 1683472008.6052
MEM 22.109375 1683472008.7102
MEM 22.109375 1683472008.8118
MEM 22.109375 1683472008.9168
MEM 22.109375 1683472009.0201
MEM 22.109375 1683472009.1252
MEM 22.109375 1683472009.2285
MEM 22.109375 1683472009.3336
MEM 22.109375 1683472009.4383
MEM 22.109375 1683472009.5434
MEM 22.109375 1683472009.6484
MEM 22.109375 1683472009.7534
MEM 22.109375 1683472009.8585
MEM 22.109375 1683472009.9619
MEM 22.109375 1683472010.0669
MEM 22.109375 1683472010.1719
MEM 22.109375 1683472010.2770
MEM 22.109375 1683472010.3786
MEM 22.109375 1683472010.4838
MEM 22.109375 1683472010.5889
MEM 22.109375 1683472010.6940
MEM 22.109375 1683472010.7989
MEM 22.109375 1683472010.9040
MEM 22.109375 1683472011.0092
MEM 22.109375 1683472011.1133
MEM 22.109375 1683472011.2184
MEM 22.109375 1683472011.3192
MEM 22.109375 1683472011.4239
MEM 22.109375 1683472011.5290
MEM 22.109375 1683472011.6342
MEM 22.109375 1683472011.7392
MEM 22.109375 1683472011.8443
MEM 22.109375 1683472011.9452
MEM 22.109375 1683472012.0502
MEM 22.109375 1683472012.1553
MEM 22.109375 1683472012.2603
MEM 22.109375 1683472012.3653
MEM 22.109375 1683472012.4660
MEM 22.109375 1683472012.5713
MEM 22.109375 1683472012.6764
MEM 22.109375 1683472012.7815
MEM 22.109375 1683472012.8865
MEM 22.109375 1683472012.9916
MEM 22.109375 1683472013.0966
MEM 22.109375 1683472013.2017
MEM 22.109375 1683472013.3067
MEM 22.140625 1683472013.4088
MEM 22.140625 1683472013.5139
MEM 22.140625 1683472013.6190
MEM 22.140625 1683472013.7240
MEM 22.140625 1683472013.8291
MEM 22.140625 1683472013.9342
MEM 22.140625 1683472014.0393
MEM 22.140625 1683472014.1443
MEM 22.140625 1683472014.2494
MEM 22.140625 1683472014.3544
MEM 22.140625 1683472014.4595
MEM 22.140625 1683472014.5646
MEM 22.140625 1683472014.6696
MEM 22.140625 1683472014.7747
MEM 22.140625 1683472014.8797
MEM 22.140625 1683472014.9848
MEM 22.140625 1683472015.0898
MEM 22.140625 1683472015.1949
MEM 22.140625 1683472015.2999
MEM 22.140625 1683472015.4049
MEM 22.140625 1683472015.5100
MEM 22.140625 1683472015.6151
MEM 22.140625 1683472015.7201
MEM 22.140625 1683472015.8252
MEM 22.140625 1683472015.9303
MEM 22.140625 1683472016.0353
MEM 22.140625 1683472016.1404
MEM 22.140625 1683472016.2454
MEM 22.140625 1683472016.3484
MEM 22.140625 1683472016.4534
MEM 22.140625 1683472016.5584
MEM 22.140625 1683472016.6635
MEM 22.140625 1683472016.7686
MEM 22.140625 1683472016.8737
MEM 22.140625 1683472016.9787
MEM 22.140625 1683472017.0838
MEM 22.140625 1683472017.1888
MEM 22.140625 1683472017.2939
MEM 22.140625 1683472017.3989
MEM 22.140625 1683472017.5040
MEM 22.140625 1683472017.6091
MEM 22.140625 1683472017.7142
MEM 22.140625 1683472017.8188
MEM 22.140625 1683472017.9240
MEM 22.140625 1683472018.0291
MEM 22.140625 1683472018.1341
MEM 22.140625 1683472018.2392
MEM 22.140625 1683472018.3442
MEM 22.140625 1683472018.4475
MEM 22.140625 1683472018.5525
MEM 22.140625 1683472018.6576
MEM 22.140625 1683472018.7627
MEM 22.140625 1683472018.8677
MEM 22.140625 1683472018.9716
MEM 22.140625 1683472019.0768
MEM 22.140625 1683472019.1784
MEM 22.140625 1683472019.2835
MEM 22.140625 1683472019.3886
MEM 22.140625 1683472019.4921
MEM 22.140625 1683472019.5972
MEM 22.140625 1683472019.7022
MEM 22.140625 1683472019.8073
MEM 22.140625 1683472019.9123
MEM 22.171875 1683472020.0175
MEM 22.171875 1683472020.1226
MEM 22.171875 1683472020.2276
MEM 22.171875 1683472020.3327
MEM 22.171875 1683472020.4377
MEM 22.171875 1683472020.5428
MEM 22.171875 1683472020.6478
MEM 22.171875 1683472020.7528
MEM 22.171875 1683472020.8579
MEM 22.171875 1683472020.9629
MEM 22.171875 1683472021.0680
MEM 22.171875 1683472021.1731
MEM 22.171875 1683472021.2782
MEM 22.171875 1683472021.3833
MEM 22.171875 1683472021.4844
MEM 22.171875 1683472021.5845
MEM 22.171875 1683472021.6895
MEM 22.171875 1683472021.7912
MEM 22.171875 1683472021.8963
MEM 22.171875 1683472021.9975
MEM 22.171875 1683472022.1026
MEM 22.171875 1683472022.2077
MEM 22.171875 1683472022.3127
MEM 22.171875 1683472022.4176
MEM 22.171875 1683472022.5178
MEM 22.171875 1683472022.6228
MEM 22.171875 1683472022.7278
MEM 22.171875 1683472022.8329
MEM 22.171875 1683472022.9341
MEM 22.171875 1683472023.0341
MEM 22.171875 1683472023.1392
MEM 22.171875 1683472023.2402
MEM 22.171875 1683472023.3453
MEM 22.171875 1683472023.4505
MEM 22.171875 1683472023.5556
MEM 22.171875 1683472023.6608
MEM 22.171875 1683472023.7659
MEM 22.171875 1683472023.8711
MEM 22.171875 1683472023.9762
MEM 22.171875 1683472024.0814
MEM 22.171875 1683472024.1865
MEM 22.171875 1683472024.2868
MEM 22.171875 1683472024.3885
MEM 22.171875 1683472024.4890
MEM 22.171875 1683472024.5941
MEM 22.171875 1683472024.6993
MEM 10.312500 1683472024.8047
MEM 10.312500 1683472024.9099
MEM 10.312500 1683472025.0170
MEM 10.312500 1683472025.1222
MEM 10.312500 1683472025.2274
MEM 10.312500 1683472025.3296
MEM 10.312500 1683472025.4334
MEM 10.312500 1683472025.5386
MEM 10.312500 1683472025.6436
MEM 10.281250 1683472025.7438
MEM 10.281250 1683472025.8489
MEM 10.328125 1683472025.9540
MEM 10.328125 1683472026.0591
MEM 10.328125 1683472026.1592
MEM 10.328125 1683472026.2643
MEM 10.328125 1683472026.3694
MEM 10.328125 1683472026.4745
MEM 10.328125 1683472026.5797
MEM 10.375000 1683472026.6849
MEM 10.375000 1683472026.7900
MEM 10.375000 1683472026.8952
MEM 10.375000 1683472027.0003
MEM 10.390625 1683472027.1055
MEM 10.390625 1683472027.2107
MEM 10.453125 1683472027.3158
MEM 10.453125 1683472027.4209
MEM 10.453125 1683472027.5260
MEM 10.453125 1683472027.6273
MEM 10.453125 1683472027.7324
