CMDLINE /opt/anaconda3/envs/radixSortTesting/bin/python3.10 memory_benchmark.py
MEM 25.578125 1683396886.4200
MEM 25.609375 1683396886.5251
MEM 25.625000 1683396886.6301
MEM 25.640625 1683396886.7352
MEM 25.671875 1683396886.8402
MEM 25.671875 1683396886.9453
MEM 25.687500 1683396887.0503
MEM 25.703125 1683396887.1554
MEM 25.734375 1683396887.2605
MEM 25.765625 1683396887.3655
MEM 25.796875 1683396887.4706
MEM 25.828125 1683396887.5708
MEM 25.859375 1683396887.6758
MEM 25.875000 1683396887.7763
MEM 25.890625 1683396887.8813
MEM 25.921875 1683396887.9864
MEM 25.937500 1683396888.0914
MEM 25.937500 1683396888.1964
MEM 25.953125 1683396888.3015
MEM 25.984375 1683396888.4066
MEM 26.000000 1683396888.5117
MEM 26.031250 1683396888.6167
MEM 26.046875 1683396888.7218
MEM 26.078125 1683396888.8268
MEM 26.109375 1683396888.9319
MEM 26.125000 1683396889.0370
MEM 26.140625 1683396889.1415
MEM 26.171875 1683396889.2465
MEM 26.187500 1683396889.3516
MEM 26.203125 1683396889.4567
MEM 26.218750 1683396889.5589
MEM 26.265625 1683396889.6616
MEM 26.265625 1683396889.7643
MEM 26.281250 1683396889.8694
MEM 26.312500 1683396889.9745
MEM 26.328125 1683396890.0795
MEM 26.343750 1683396890.1845
MEM 26.390625 1683396890.2895
MEM 26.421875 1683396890.3946
MEM 26.437500 1683396890.4997
MEM 26.453125 1683396890.6015
MEM 26.484375 1683396890.7066
MEM 26.515625 1683396890.8117
MEM 26.531250 1683396890.9125
MEM 26.546875 1683396891.0175
MEM 26.562500 1683396891.1226
MEM 26.593750 1683396891.2277
MEM 26.609375 1683396891.3327
MEM 26.625000 1683396891.4379
MEM 26.656250 1683396891.5380
MEM 26.671875 1683396891.6430
MEM 26.718750 1683396891.7480
MEM 26.734375 1683396891.8530
MEM 26.750000 1683396891.9537
MEM 26.765625 1683396892.0588
MEM 26.781250 1683396892.1631
MEM 26.796875 1683396892.2681
MEM 26.828125 1683396892.3729
MEM 26.843750 1683396892.4781
MEM 26.859375 1683396892.5831
MEM 26.890625 1683396892.6881
MEM 26.921875 1683396892.7932
MEM 26.937500 1683396892.8967
MEM 26.953125 1683396893.0018
MEM 27.015625 1683396893.1069
MEM 27.031250 1683396893.2119
MEM 27.046875 1683396893.3170
MEM 27.062500 1683396893.4220
MEM 27.093750 1683396893.5243
MEM 27.109375 1683396893.6275
MEM 27.140625 1683396893.7326
MEM 27.171875 1683396893.8377
MEM 27.187500 1683396893.9428
MEM 27.203125 1683396894.0479
MEM 27.218750 1683396894.1531
MEM 27.250000 1683396894.2582
MEM 27.265625 1683396894.3635
MEM 27.281250 1683396894.4686
MEM 27.312500 1683396894.5738
MEM 27.343750 1683396894.6790
MEM 27.375000 1683396894.7841
MEM 27.390625 1683396894.8891
MEM 27.421875 1683396894.9943
MEM 27.437500 1683396895.0994
MEM 27.453125 1683396895.2027
MEM 27.468750 1683396895.3078
MEM 27.500000 1683396895.4129
MEM 27.515625 1683396895.5180
MEM 27.531250 1683396895.6230
MEM 27.578125 1683396895.7281
MEM 27.625000 1683396895.8331
MEM 27.640625 1683396895.9382
MEM 27.656250 1683396896.0432
MEM 27.687500 1683396896.1483
MEM 27.703125 1683396896.2533
MEM 27.718750 1683396896.3584
MEM 27.750000 1683396896.4602
MEM 27.765625 1683396896.5652
MEM 27.796875 1683396896.6703
MEM 27.812500 1683396896.7716
MEM 27.843750 1683396896.8767
MEM 27.859375 1683396896.9817
MEM 27.875000 1683396897.0868
MEM 27.921875 1683396897.1918
MEM 27.937500 1683396897.2969
MEM 27.953125 1683396897.3978
MEM 27.968750 1683396897.5029
MEM 28.015625 1683396897.6079
MEM 28.031250 1683396897.7130
